Triangle Index,Power Density / Wm-2,Error / Wm-2
0,0.00015420806325638093,2.849863693655059e-06
1,0.0005373314588087286,6.920144275039601e-06
2,0.00015396986617656247,2.7281023820774435e-06
3,0.00019830384739533174,3.3200791890541953e-06
4,0.00032847441578436737,4.045412641581722e-06
5,0.00037592421769226106,4.559876671206728e-06
6,0.00045900237996638563,8.213726875058457e-06
7,0.0004980979576153881,8.597838464089023e-06
8,0.0005251897922917649,7.903882244809047e-06
9,0.0004622144105664162,8.100078996777461e-06
10,0.0005046800188606756,8.520484136570802e-06
11,0.0004986762333380719,8.611468861459258e-06
12,0.000473152795103726,8.406440564532007e-06
13,0.0005214742818035429,8.897006230660747e-06
14,0.0005203835562646107,8.975187524276184e-06
15,0.0004970298056625841,7.732905880157367e-06
16,0.0005294660530946674,8.085733547715544e-06
17,0.0005359825859047794,8.150465366342519e-06
18,0.000516174295822152,6.836181841476124e-06
19,0.0005598942913738668,7.059437369089032e-06
20,0.0005709295285085277,7.108488145146739e-06
21,0.00015639605650229045,2.7729335325305965e-06
22,0.0005206691529933099,8.431125536640134e-06
23,0.00017112156325390054,3.317188672284284e-06
24,0.00020644784739890968,3.4159706645459406e-06
25,0.00036816681190340585,4.652901853625627e-06
26,0.0003424609310823647,4.500177331600291e-06
27,0.0005294085963449552,6.40404696977338e-06
28,0.0005324913986294661,6.582982276284396e-06
29,0.0005411832298920046,7.471659802155909e-06
30,0.000523603478417497,6.344107314720971e-06
31,0.0005593876396426759,6.766281720679442e-06
32,0.0005675482042230668,6.865915327081202e-06
33,0.0005262102708964923,6.521270236429301e-06
34,0.0005515449806170647,6.686267902405015e-06
35,0.0005701508658965688,6.903713413476241e-06
36,0.0005152083992314009,7.332917589599006e-06
37,0.0005508297939020316,7.600030658515782e-06
38,0.0005525626585613333,7.626063423821074e-06
39,0.0004982259496565506,8.235596391449328e-06
40,0.0005276236444131957,8.635170853266935e-06
41,0.0005558647806821837,8.752850159518597e-06
42,0.00016504106637140189,2.9728081555928263e-06
43,0.00015849760352224096,2.8453024759927517e-06
44,0.0001513614070726792,2.7146118134468685e-06
45,0.00015867241061574177,2.7258608784845556e-06
46,0.0005088022031224309,6.535332748873484e-06
47,0.00015019635044728652,2.705717476887348e-06
48,0.00015668099074193006,2.831765768218228e-06
49,0.00016563744143854886,2.990018739723707e-06
50,0.00015663229656704498,2.870364991448329e-06
51,0.00019375395354649801,3.1954371609805385e-06
52,0.00033099008642458697,4.037763152490488e-06
53,0.0003370331371143614,4.090388381828983e-06
54,0.00031910018001613183,4.001127890489858e-06
55,0.0003308965972870775,4.028068489110994e-06
56,0.0003684122210243966,4.4807411705363194e-06
57,0.0003797413479239978,4.593286687853973e-06
58,0.0003600478511791577,4.450681696099018e-06
59,0.0003778880205284459,4.5729158230328354e-06
60,0.00046443681504442565,8.325456645949861e-06
61,0.0004712679601289509,8.172063677831328e-06
62,0.0004963004814678545,7.3811929581294e-06
63,0.00046640806143504544,8.499821793296364e-06
64,0.000515653638813352,8.834832777847367e-06
65,0.0005052855662018897,8.791761883914992e-06
66,0.0004933932185949106,8.405904722587925e-06
67,0.0005324217457075543,8.789378050147124e-06
68,0.0005167570957821281,8.670593059316881e-06
69,0.0005234285129418618,7.581368514904014e-06
70,0.0005628530585709838,7.821344246807018e-06
71,0.0005536646172448123,7.73482067153896e-06
72,0.0005282161848637002,6.630170329663081e-06
73,0.0005639457095886709,6.833579069806644e-06
74,0.0005545762451605959,6.760644900528262e-06
75,0.0001517508362365392,2.7364558383934833e-06
76,0.00016693361146428822,3.0532066200542297e-06
77,0.00018399027442429327,3.7303414030656527e-06
78,0.00017131123025262204,3.319933272564251e-06
79,0.0004921690279323858,8.454498461968352e-06
80,0.00018038121891044673,3.684858884727766e-06
81,0.00016500734402113683,3.034653166160466e-06
82,0.00016113997612325387,2.765496531083052e-06
83,0.0001548684052491252,2.7581645512315233e-06
84,0.00022493892587913898,4.054607650367941e-06
85,0.0003648389139392898,4.61136125250358e-06
86,0.00037358402427124934,4.668843543651472e-06
87,0.0003653502375477698,4.627686585961528e-06
88,0.0003644411481961484,4.630928628550038e-06
89,0.000329792092247432,4.4769504213671576e-06
90,0.00033465119210718,4.46925358392974e-06
91,0.0003326381212948258,4.4431087146758e-06
92,0.00034028171311062416,4.485564213163922e-06
93,0.0005153073057357197,6.242022067676033e-06
94,0.000528475646676492,6.741839715419468e-06
95,0.0005217779910414487,7.686010334986868e-06
96,0.000530031167844132,6.416866419904018e-06
97,0.0005651600979139439,6.840230747522295e-06
98,0.000576826610707842,6.998744557414049e-06
99,0.0005382126340953465,6.799209611686293e-06
100,0.0005813027620077986,7.03869589526503e-06
101,0.0005686752027117741,6.984279249388184e-06
102,0.0005191930751140534,7.771178257212621e-06
103,0.0005559128961600167,8.0238726595739e-06
104,0.0005599485237780499,7.993335264206657e-06
105,0.0005155830655364257,8.691925947140733e-06
106,0.0005561751513906091,9.061525540853367e-06
107,0.0005110235376327,8.892771809303057e-06
