Triangle Index,Power Density / Wm-2,Error / Wm-2
0,0.0001742499725932409,5.2788105137472665e-06
1,0.000507937955461389,9.071522348729754e-06
2,0.0001545942949712075,4.337587057555865e-06
3,0.00020263048253089857,6.217183218398893e-06
4,0.0003371142263108082,7.371382671042641e-06
5,0.00035833652178550847,6.933573262373776e-06
6,0.0005024470421174144,1.3217214149400479e-05
7,0.0005097627002955841,1.1918270300476854e-05
8,0.0005155422207927434,1.0187820899899883e-05
9,0.00047194229114352925,1.3287626581311912e-05
10,0.0005291894076882487,1.3666509851807757e-05
11,0.0005465345620777078,1.378080870683403e-05
12,0.0004845258691694752,1.1578041837247366e-05
13,0.0005495562785814695,1.2242732880298294e-05
14,0.0005404554730374999,1.209823824235309e-05
15,0.000490485088121106,1.000584405732635e-05
16,0.0005375382134965651,1.0391702181385919e-05
17,0.0005114206033397764,1.0322041741448118e-05
18,0.0004816600127249005,8.92985234330626e-06
19,0.0005413826785466864,9.604667713113179e-06
20,0.0005471072245588876,9.711479649150468e-06
21,0.00015523282756459231,4.260280412220623e-06
22,0.0004831377838363752,1.2654114868654317e-05
23,0.00016187330250397785,4.982036357157772e-06
24,0.0001935362140665543,5.1689150016090305e-06
25,0.00038720460651782895,6.879948865135194e-06
26,0.000319018585538884,6.738444006901886e-06
27,0.0005015975498332702,8.955445742123782e-06
28,0.0005184300594063985,9.602707910247761e-06
29,0.0005207640729699521,1.114296695012919e-05
30,0.0004747510954664254,8.761819886070534e-06
31,0.0005248895739127517,9.306785897293734e-06
32,0.0005478495880851937,9.714715443555482e-06
33,0.000507919887069547,9.506133645941756e-06
34,0.0005354685419110945,9.758619103372716e-06
35,0.000548063499853861,9.929660707725262e-06
36,0.0005142539980189205,1.0922090095044887e-05
37,0.000525539781989126,1.1307139958522667e-05
38,0.0005460292313238296,1.1402298525543553e-05
39,0.0004924777960279772,1.240169312135552e-05
40,0.0005374413468190719,1.303668915423451e-05
41,0.0005296457728100281,1.3222228206171206e-05
42,0.00018519762957641488,5.818200470794044e-06
43,0.00016361594066250303,5.04002643206883e-06
44,0.00016158532887955118,4.32136950574406e-06
45,0.00015938524393296034,4.4086617673728425e-06
46,0.0004990703796825141,8.88243340359151e-06
47,0.00015718115538531456,4.407575658640591e-06
48,0.00015814992088925827,4.781267113423712e-06
49,0.00017215164180501617,5.916333692436264e-06
50,0.00016168652034997862,5.125212988306228e-06
51,0.00019681545109852738,5.317272361406887e-06
52,0.0003270737414403786,6.935079704490286e-06
53,0.00032844304421525655,7.04488992529444e-06
54,0.0003185708073263706,6.9054826203290285e-06
55,0.0003416896507510164,7.036134099142218e-06
56,0.00034961200202531873,6.673384484658677e-06
57,0.0003722868695180643,6.799391144266022e-06
58,0.0003673253666013051,6.740292598044586e-06
59,0.00037488376542662454,6.732678526862013e-06
60,0.0004969230564680247,1.2851839615885318e-05
61,0.0005037069334269958,1.101848688528799e-05
62,0.0004975992463405534,9.57596894665024e-06
63,0.0005088600838761437,1.2861105809493562e-05
64,0.000527197464687693,1.3285982288296729e-05
65,0.0005406155091666776,1.3333241952204656e-05
66,0.0005256524382744452,1.145595659332606e-05
67,0.0005275961859238483,1.1534101021491961e-05
68,0.0005489246243329696,1.1628833752498947e-05
69,0.0005284942935359277,9.774380606000934e-06
70,0.0005592298128328951,1.0026422108419892e-05
71,0.0005438146686786775,9.950310795660066e-06
72,0.0005018514602306728,8.972191439311035e-06
73,0.0005282826473343716,9.369711396749058e-06
74,0.0005242532356121326,9.320422078345094e-06
75,0.00016359936169914522,4.266286093266452e-06
76,0.00016864907460461385,4.673708646979298e-06
77,0.00018339925377728008,5.548173821031992e-06
78,0.00016761627625755198,5.013207181846748e-06
79,0.0004844974424664106,1.2738653773955961e-05
80,0.0001739864597373236,5.483205998497978e-06
81,0.0001546263560738304,4.6039165022383636e-06
82,0.00015461104270258523,4.263908974010386e-06
83,0.00015788781530070095,4.293950305250823e-06
84,0.00021996715778403234,6.094571374559297e-06
85,0.0003830000847581382,6.9267730646576525e-06
86,0.0003928971915499256,6.978362710591106e-06
87,0.00036939667132990494,6.816182699193398e-06
88,0.0003939610889421564,7.062969902822995e-06
89,0.0003364097684716553,6.729307379434723e-06
90,0.0003347061588037045,6.778006909195835e-06
91,0.00033586588236081465,6.744029172366176e-06
92,0.00032790212123961544,6.7954957472502876e-06
93,0.00047684488670193516,8.96405611946769e-06
94,0.00048665043324553654,9.876449300371425e-06
95,0.0005002145306656633,1.1616328952927874e-05
96,0.0005096648643408326,9.127198884945812e-06
97,0.0005382535250808653,9.555156613638954e-06
98,0.000525328968353564,9.419036979011947e-06
99,0.0005089072906398134,9.986413472320098e-06
100,0.0005570078206855124,1.0262212056076123e-05
101,0.0005305130055190726,1.0214242258269955e-05
102,0.0004981641796911479,1.173261690733022e-05
103,0.0005354012095230805,1.200667975346923e-05
104,0.0005280258076799902,1.1924491506842999e-05
105,0.0004857660230105047,1.2997260585792386e-05
106,0.0005519476929369894,1.3716740037765502e-05
107,0.0004997590864364037,1.3368115694477168e-05
