Triangle Index,Power Density / Wm-2,Error / Wm-2
0,0.00015178905820095837,2.662494723748258e-06
1,0.0005351094869580861,7.96736365692398e-06
2,0.0001509640511831895,2.6313073221644e-06
3,0.00019104215397946326,3.0562846399887472e-06
4,0.0003359787842294261,4.1173759538446495e-06
5,0.0003816716428344524,4.684156894575983e-06
6,0.0004628168645895345,7.065001194281864e-06
7,0.00047539213406033655,8.19300755916485e-06
8,0.0004924099802470853,8.58865354633772e-06
9,0.0004350858404644154,6.880094789756463e-06
10,0.00045699239223541253,7.159322798902652e-06
11,0.0004783023463004172,7.214919703944781e-06
12,0.00045349219235895846,7.998950909504794e-06
13,0.0004967061913822578,8.446676366720391e-06
14,0.0005120984791469386,8.480943439825966e-06
15,0.0004904895810839292,8.434539343825205e-06
16,0.0005200439833243296,8.876293819849159e-06
17,0.0005387952967617627,8.959461130306173e-06
18,0.0004993300562419829,7.787768161234417e-06
19,0.0005557224264902313,8.21540910450911e-06
20,0.0005707893878480782,8.316995356891267e-06
21,0.00016485775044227806,2.84420216819538e-06
22,0.0005312697660365092,8.533697377995369e-06
23,0.00017351948480533638,3.4170796165947027e-06
24,0.00020575917894870605,3.519911046699465e-06
25,0.0003433358934018869,4.745453769537558e-06
26,0.0003357140302611402,4.51375053786314e-06
27,0.0005524869373384664,6.976712955802388e-06
28,0.0005577716510502598,6.966547596378924e-06
29,0.000554043287694818,7.64326756631618e-06
30,0.000536450287906094,6.87417540633258e-06
31,0.0005814532844846625,7.1268447050250366e-06
32,0.0005969801111111867,7.366240019460507e-06
33,0.000546913249747468,6.8912459619524915e-06
34,0.0005739423453185223,7.063393908389229e-06
35,0.000577678742917299,7.093323254318679e-06
36,0.000532135807306035,7.505697507273414e-06
37,0.0005816610293697342,7.819890743115605e-06
38,0.0005853738736524984,7.841609138901895e-06
39,0.0005050502631869534,8.362191940749313e-06
40,0.0005568017435804746,8.763020626575557e-06
41,0.0005632721900735485,8.854740846677808e-06
42,0.00016043161412579982,2.7237309356375544e-06
43,0.0001563510840862678,2.7065995982043747e-06
44,0.0001520671204461496,2.6681539776398004e-06
45,0.00014973611093756166,2.63525876817798e-06
46,0.0005293869156122433,7.565062262084606e-06
47,0.00015208859485501056,2.6596781796671103e-06
48,0.00015565953688311018,2.7089201294321936e-06
49,0.000160501943349357,2.7125724810363293e-06
50,0.00015740569086744897,2.6614332754413306e-06
51,0.0001925992589631029,3.0373894105502693e-06
52,0.00032112815997920713,3.935045976828973e-06
53,0.0003196649397310982,3.917398567024693e-06
54,0.00031218567543938127,3.824878309410201e-06
55,0.00032070970960156573,3.933758141452421e-06
56,0.00036395801418538166,4.488333932938541e-06
57,0.000386007670786682,4.733982153816271e-06
58,0.00036814167962004936,4.538139947422807e-06
59,0.0003864254322092876,4.736177156108284e-06
60,0.0004382992639162938,7.284870024946147e-06
61,0.00046689374294187205,8.258502302258054e-06
62,0.0004925540645015168,8.267537985751494e-06
63,0.00045817906718643726,7.406539157215897e-06
64,0.0004711508149531482,7.656758273508522e-06
65,0.00047250840066644215,7.63088314339533e-06
66,0.0004828861742340356,8.436797534033145e-06
67,0.0005132940833029834,8.790169853171964e-06
68,0.0005138642236292987,8.714781270208868e-06
69,0.0005165366718709319,8.485514575309191e-06
70,0.0005271476352211213,8.794235837334827e-06
71,0.0005376921518525859,8.746722937695089e-06
72,0.0005358578516043469,7.698431650521197e-06
73,0.0005750716943915305,7.964042668085894e-06
74,0.000559756086980355,7.868613663982534e-06
75,0.00015616934000356645,2.7420129796605073e-06
76,0.00017247719522545712,3.162240211375319e-06
77,0.00017905114525645997,3.758335396588835e-06
78,0.00017008768899093947,3.3872443635239378e-06
79,0.0005055160867637867,8.60517720236232e-06
80,0.00017900110858121333,3.7483978507615775e-06
81,0.00017107571201471612,3.1501921934651023e-06
82,0.00015440910273253414,2.741071932118964e-06
83,0.0001590414019713309,2.832866295075661e-06
84,0.00021917834694277715,4.1979311083349065e-06
85,0.0003410183462288489,4.684592500208326e-06
86,0.000336586172362932,4.782189057823732e-06
87,0.00033095810306115164,4.654303182516621e-06
88,0.0003305195294375357,4.713475174289562e-06
89,0.0003409339572990928,4.543740311280854e-06
90,0.0003409102878502352,4.525940488873132e-06
91,0.0003346983692393221,4.480985117246817e-06
92,0.0003362414052202432,4.495385310390735e-06
93,0.0005478496004443969,6.808384061911668e-06
94,0.0005355976797818927,7.053841702418157e-06
95,0.0005292513262153658,7.8089770653591e-06
96,0.0005437227355303784,6.86335926167611e-06
97,0.0005977423791535185,7.32531430160953e-06
98,0.0005836454238148698,7.1555266637768285e-06
99,0.0005619959468930109,7.143150215495265e-06
100,0.0005967675065785128,7.335897648222405e-06
101,0.0005807461705470907,7.2462267620858735e-06
102,0.0005666026806700376,7.98865119613436e-06
103,0.0005804827028117658,8.223543319416862e-06
104,0.000574254613447812,8.145179602402423e-06
105,0.0005230389991435827,8.721510057108323e-06
106,0.000557150729444235,9.111517547425814e-06
107,0.000538438760032974,8.9992640951767e-06
