Triangle Index,Power Density / Wm-2,Error / Wm-2
0,0.00020849615187756054,4.266922115485356e-06
1,0.00040454733750543766,5.319458753292348e-06
2,0.00019362283133601715,3.5815364237421864e-06
3,0.00029157476974093864,5.358602207278356e-06
4,0.00048700501018968524,6.313447751672457e-06
5,0.0003604117960218279,4.627487715505882e-06
6,0.0004640923455362141,6.24372631068941e-06
7,0.00043509317985831943,5.822537784346638e-06
8,0.0004201760864593498,5.518239404543249e-06
9,0.0004440251600672859,6.147310593039716e-06
10,0.00045896741369154794,6.303704260329081e-06
11,0.000484032782972205,6.368839796855472e-06
12,0.0004329948804862119,5.760988150181928e-06
13,0.00045022701557383463,5.903231029361408e-06
14,0.00045327134711402247,5.949243367920174e-06
15,0.0004038455851437165,5.4391010207499994e-06
16,0.0004306304360891793,5.582628977514018e-06
17,0.0004319748964875713,5.612776931652699e-06
18,0.00039776938775188905,5.27861445735772e-06
19,0.0004171512496211338,5.409916363392727e-06
20,0.0004301165457040209,5.523909199776201e-06
21,0.00017730672967076713,3.152393421722591e-06
22,0.00045307582477645205,8.295374169055971e-06
23,0.00017473713053736884,3.454927196287862e-06
24,0.00023920997792802428,4.0205860013904615e-06
25,0.00040465662942673825,5.195133257115755e-06
26,0.00031662509696747464,4.478965849807795e-06
27,0.0004162499228062709,5.52171189495717e-06
28,0.0004428840901838861,6.1922380657535985e-06
29,0.0004661977950524942,7.296442727709141e-06
30,0.00040949690141243506,5.495690137068925e-06
31,0.00043334257162987893,5.611475673321757e-06
32,0.00043926789445903594,5.63912192970368e-06
33,0.0004223495405715078,6.102948269538861e-06
34,0.0004584459772268399,6.293774457350906e-06
35,0.0004653909932954041,6.321443281805271e-06
36,0.000436426678049383,7.102810644319189e-06
37,0.00046345145745701317,7.378823091673951e-06
38,0.00047266560924610717,7.461424051793303e-06
39,0.00044636803050177606,8.136688964401319e-06
40,0.00048376393922172823,8.645126733501173e-06
41,0.00048119385572538225,8.612184163350316e-06
42,0.00022399556267174066,4.545220055614507e-06
43,0.00019759384177057968,3.972715228206396e-06
44,0.00018570953862292387,3.412378319301972e-06
45,0.00019502254225347903,3.6078630700683084e-06
46,0.00040924357878301896,5.3123791226534635e-06
47,0.000186628623448866,3.436654453729801e-06
48,0.0001892188989374876,3.937871246622126e-06
49,0.0002195109416790665,4.552931359273576e-06
50,0.00021202697410286947,4.30037400973528e-06
51,0.0002746392658503498,4.753917046003283e-06
52,0.00047499250238222353,6.1676833780728905e-06
53,0.0004908012154754386,6.3038305813309675e-06
54,0.0004826323485114269,6.219222230114898e-06
55,0.0004935380374803691,6.335730595312555e-06
56,0.00034748376772207953,4.487789357323331e-06
57,0.0003647618110489043,4.68327057549792e-06
58,0.00035142250262049785,4.525963421191385e-06
59,0.00036553879054700925,4.693231197917569e-06
60,0.0004318405566186223,5.972940645043804e-06
61,0.0004111178040639647,5.603092435449029e-06
62,0.0004076918600167781,5.4032976830475505e-06
63,0.00046171013865782724,6.1158816520654825e-06
64,0.00046611937948402973,6.217702398335252e-06
65,0.00047513762638796265,6.214179629363232e-06
66,0.0004237271384913492,5.694628170610264e-06
67,0.00044680613398048285,5.843370607601451e-06
68,0.00044302890503426686,5.809026433582938e-06
69,0.00041252349185814697,5.42720363822089e-06
70,0.00042923946046975444,5.542686999130523e-06
71,0.0004304439865111724,5.5694365802012336e-06
72,0.0004051275753332519,5.328026863987589e-06
73,0.0004289309747269038,5.534231446525147e-06
74,0.00042047446340850016,5.422079304977885e-06
75,0.00018052244583484364,3.2294079769514273e-06
76,0.0001816951390573353,3.3077612392391657e-06
77,0.00017687247339288664,3.7793406306729746e-06
78,0.0001761862003470368,3.470811143595567e-06
79,0.00043919212944246524,8.380875435705782e-06
80,0.00017540490997182244,3.766091281709852e-06
81,0.0001764912004048923,3.2815542418695754e-06
82,0.00018072396426468485,3.242878324895487e-06
83,0.00017852433676666203,3.1668533486704968e-06
84,0.00023129857855373534,4.297442401753759e-06
85,0.000391939107682019,5.036549057899511e-06
86,0.00039995695677789094,5.136081405426047e-06
87,0.0003947857921286251,5.081190578253236e-06
88,0.00039057708325399135,5.025624548970726e-06
89,0.0003164328983022462,4.4658515690860686e-06
90,0.0003206618323338474,4.493537344196669e-06
91,0.00031200201435524114,4.46273438755607e-06
92,0.0003250948101318781,4.494274892016301e-06
93,0.0004205677610183755,5.681815814165031e-06
94,0.00043656951932980853,6.414282152885221e-06
95,0.00043477626716781863,7.4824770252453625e-06
96,0.00043390047264049546,5.730589402343409e-06
97,0.0004461265573008379,5.8270040105884645e-06
98,0.0004384370531142813,5.791736576841692e-06
99,0.00045909802782079863,6.547960142598567e-06
100,0.0004682787024663927,6.66043136395864e-06
101,0.00047000018830736936,6.657623309385775e-06
102,0.00045238846199581115,7.597911612451171e-06
103,0.0004888089886905529,7.904092653635148e-06
104,0.00047039466646627644,7.790397961239573e-06
105,0.0004499258944492234,8.604763937055861e-06
106,0.00047702137700559184,8.895657051139698e-06
107,0.0004762023008246806,8.83692561997988e-06
